k,distance,std,TP,TN,FP,FN,Acc
3,canberra,350,910,122,200,0,0.837662337662
3,chebyshev,350,855,39,283,55,0.725649350649
3,cosine,350,910,53,269,0,0.781655844156
3,dice,350,327,290,32,583,0.500811688312
3,hamming,350,910,8,314,0,0.74512987013
3,matching,350,304,321,1,606,0.507305194805
3,russellrao,350,79,232,90,831,0.252435064935
3,sokalmichener,350,244,289,33,666,0.43262987013
3,sokalsneath,350,373,264,58,537,0.517045454545
4,euclidean,350,889,0,322,21,0.721590909091
4,max,350,869,18,304,41,0.719967532468
4,mahattan,350,910,0,322,0,0.738636363636
4,braycurtis,350,910,95,227,0,0.815746753247
4,canberra,350,889,97,225,21,0.800324675325
4,chebyshev,350,869,19,303,41,0.720779220779
4,cosine,350,910,40,282,0,0.771103896104
4,dice,350,266,288,34,644,0.449675324675
4,hamming,350,910,0,322,0,0.738636363636
4,matching,350,324,316,6,586,0.519480519481
4,russellrao,350,277,248,74,633,0.426136363636
4,sokalmichener,350,457,307,15,453,0.62012987013
4,sokalsneath,350,433,292,30,477,0.588474025974
1,euclidean,400,873,40,282,37,0.741071428571
1,max,400,839,34,288,71,0.708603896104
1,mahattan,400,902,52,270,8,0.774350649351
1,braycurtis,400,873,186,136,37,0.859577922078
1,canberra,400,889,220,102,21,0.900162337662
1,chebyshev,400,853,51,271,57,0.733766233766
1,cosine,400,865,57,265,45,0.748376623377
1,dice,400,130,289,33,780,0.340097402597
1,hamming,400,896,17,305,14,0.741071428571
1,matching,400,302,321,1,608,0.505681818182
1,russellrao,400,239,250,72,671,0.396915584416
1,sokalmichener,400,202,285,37,708,0.395292207792
1,sokalsneath,400,172,271,51,738,0.359577922078
2,euclidean,400,910,0,322,0,0.738636363636
2,max,400,869,6,316,41,0.710227272727
2,mahattan,400,910,3,319,0,0.741071428571
2,braycurtis,400,910,109,213,0,0.82711038961
2,canberra,400,910,132,190,0,0.845779220779
2,chebyshev,400,910,17,305,0,0.752435064935
2,cosine,400,910,32,290,0,0.76461038961
2,dice,400,538,257,65,372,0.645292207792
2,hamming,400,910,3,319,0,0.741071428571
2,matching,400,385,308,14,525,0.5625
2,russellrao,400,260,205,117,650,0.377435064935
2,sokalmichener,400,427,286,36,483,0.578733766234
2,sokalsneath,400,502,241,81,408,0.603084415584
3,euclidean,400,889,0,322,21,0.721590909091
3,max,400,869,15,307,41,0.717532467532
3,mahattan,400,910,0,322,0,0.738636363636
3,braycurtis,400,910,74,248,0,0.798701298701
3,canberra,400,910,114,208,0,0.831168831169
3,chebyshev,400,855,36,286,55,0.723214285714
3,cosine,400,910,36,286,0,0.767857142857
3,dice,400,429,304,18,481,0.594967532468
3,hamming,400,910,0,322,0,0.738636363636
3,matching,400,158,312,10,752,0.381493506494
3,russellrao,400,167,260,62,743,0.346590909091
3,sokalmichener,400,340,285,37,570,0.507305194805
3,sokalsneath,400,388,297,25,522,0.556006493506
4,euclidean,400,889,0,322,21,0.721590909091
4,max,400,855,24,298,55,0.713474025974
4,mahattan,400,910,0,322,0,0.738636363636
4,braycurtis,400,910,111,211,0,0.828733766234
4,canberra,400,910,149,173,0,0.859577922078
4,chebyshev,400,855,20,302,55,0.710227272727
4,cosine,400,902,18,304,8,0.746753246753
4,dice,400,388,271,51,522,0.534902597403
4,hamming,400,910,3,319,0,0.741071428571
4,matching,400,201,315,7,709,0.418831168831
4,russellrao,400,226,269,53,684,0.401785714286
4,sokalmichener,400,225,273,49,685,0.404220779221
4,sokalsneath,400,290,290,32,620,0.470779220779
